id,is_pass
1626_45,0.333333
11020_130,0.8
12652_146,0.666667
7038_72,0.266667
888_71,0.533333
18922_62,0.666667
5499_29,1
10150_125,0.933333
10158_95,0.8
6215_17,0.933333
6719_121,1
14498_175,0.8
15169_153,0.933333
11094_23,0.133333
17853_11,0.666667
15437_157,0.733333
7156_53,0.733333
1406_69,0.866667
6127_32,0.4
19983_89,0.733333
14606_87,0.933333
15316_112,0.733333
2729_157,0.733333
15099_94,0.533333
1226_135,0.866667
5097_64,0.733333
7456_19,1
5846_70,0.733333
12159_44,0.733333
17292_94,0.733333
7038_74,0.933333
10956_131,1
8828_136,0.733333
10477_27,0.933333
18548_82,0.933333
4093_82,0.666667
299_160,0.866667
6165_117,0.733333
1139_80,0.6
6498_93,0.266667
18332_127,0.8
4167_88,0.933333
5207_80,0.466667
9653_39,0.933333
9730_31,1
14676_158,0.933333
13104_57,0.666667
4695_32,0.866667
8544_81,1
3175_103,0.666667
5294_167,0.933333
16934_97,0.6
16711_154,1
11574_83,0.333333
8183_84,0.666667
1986_164,0.8
10067_21,0.933333
3588_154,0.933333
10785_65,0.933333
1858_144,0.533333
10801_174,0.733333
1645_149,0.8
8584_128,0.933333
16381_47,0.533333
10042_28,0.8
9725_125,0.933333
3906_95,0.666667
13921_40,0.733333
20096_103,0.2
10021_101,0.533333
1035_19,0.733333
105_128,0.666667
7720_87,0.333333
12174_50,0.733333
12560_89,0.533333
11847_86,0.6
10240_22,0.8
7852_82,0.533333
3462_104,0.4
3592_103,0.866667
18365_120,0.6
10326_23,0.133333
10334_135,0.6
2893_118,0.933333
20072_67,0.666667
3308_9,0.6
14550_170,0.4
1926_132,0.8
6580_14,0.466667
2504_126,0.466667
16734_43,0.466667
5279_121,0.733333
11361_180,0.533333
9156_143,0.8
8157_135,0.933333
4985_159,0.733333
7191_79,0.8
13297_140,0.333333
10763_94,0.6
15041_44,0.866667
12038_82,0.466667
8503_133,0.8
18334_11,0.466667
7731_77,0.466667
8658_141,0.8
7531_73,0.666667
412_143,0.666667
15721_109,0.666667
10921_25,0.4
3366_73,0.533333
13524_88,0.666667
19818_73,0.4
1800_90,0.333333
15120_182,0.8
14355_94,0.6
19593_83,0.866667
6051_74,1
1300_44,0.266667
7326_79,0.733333
18295_152,0.4
1322_73,0.533333
15009_159,0.533333
19400_114,0.933333
10190_141,0.533333
9530_166,0.733333
9155_136,0.733333
3281_114,0.466667
6962_16,0.8
14439_88,0.6
11766_36,0.533333
2567_14,0.933333
13337_51,0.933333
3155_14,0.866667
8431_43,0.533333
16864_100,0.466667
15816_95,0.466667
7850_49,0.666667
9331_132,0.8
18321_69,0.533333
2661_3,0.4
10790_128,0.533333
15310_43,0.333333
805_135,0.933333
9609_169,0.933333
13486_144,0.8
12394_32,0.733333
16943_179,0.4
11233_83,0.666667
8225_50,0.333333
18931_22,0.466667
5027_73,0.8
2845_76,0.733333
18309_43,0.4
14295_57,0.866667
176_9,0.866667
19422_120,0.4
7015_113,0.8
2082_83,0.6
10461_27,1
3517_25,0.533333
1632_150,0.8
14762_95,0.466667
8994_102,0.933333
2819_67,0.466667
9559_164,0.8
6124_81,0.8
12715_137,0.866667
18903_148,0.6
1771_26,0.4
10467_159,0.933333
12193_31,0.733333
6767_78,0.4
19217_113,0.933333
7521_67,0.8
9311_23,0.466667
5127_87,0.8
15018_46,0.733333
16757_149,0.733333
13703_38,1
11840_137,0.8
4815_123,0.8
12418_25,0.333333
6629_32,0.333333
12276_97,0.8
17234_47,0.666667
4707_25,0.733333
17013_187,0.6
18006_17,1
13508_56,0.6
6576_72,0.666667
2103_11,0.466667
14317_58,0.733333
16902_43,0.666667
3208_52,0.733333
16348_155,0.933333
194_62,0.8
8566_25,0.733333
6122_120,0.666667
6956_55,0.4
4666_21,0.733333
5633_87,0.733333
8586_101,0.866667
4173_74,0.466667
15570_96,0.4
3725_22,0.266667
18782_53,0.666667
17983_76,0.4
2790_61,0.466667
10881_44,0.266667
8363_143,0.8
17627_153,0.666667
1843_6,0.4
13693_33,0.4
12309_39,0.733333
14885_94,0.733333
15795_184,0.866667
4415_10,0.4
4675_61,0.8
1000_3,0.133333
5636_10,0.4
11114_103,0.866667
1479_153,0.666667
4039_107,0.733333
15296_182,0.133333
13847_32,0.933333
3143_30,0.8
14652_39,0.666667
1729_28,0.933333
16581_184,0.866667
13085_152,0.533333
13497_62,0.733333
15361_45,0.866667
14879_158,0.866667
587_84,0.466667
11649_86,0.6
72_43,0.4
19051_123,0.533333
8627_131,0.866667
19926_159,0.466667
3169_72,0.333333
19046_32,0.533333
8410_165,0.666667
3000_24,0.666667
4008_24,0.466667
14337_36,0.533333
18684_146,0.866667
4774_28,1
8002_18,0.933333
13672_154,1
14078_178,0.866667
9792_165,0.8
3572_115,0.6
3911_48,0.733333
1074_45,0.266667
10996_31,0.6
11232_81,0.533333
17267_111,0.6
4666_30,0.866667
9241_96,1
4890_88,0.266667
6495_122,0.666667
6241_127,0.4
3647_12,0.466667
10654_82,0.933333
8533_125,0.8
1484_24,0.4
18456_33,0.733333
1189_142,0.8
7579_64,0.8
18668_103,0.866667
13336_137,0.666667
11325_50,0.466667
